arm,seed,wall_s,norm,eps_rel,eps,alpha,base,robust_destroy_linf,robust_abs_linf,robust_gap_linf,robust_clean_linf,robust_destroy_l2,robust_abs_l2,robust_gap_l2,robust_clean_l2,R2_behavior,KNN_behavior,R2_time,KNN_time,R2_residual,KNN_residual,sv_sv_max,sv_sv_min,sv_sv_ratio,sv_fro,sp_participation_ratio,sp_entropy,sp_gini,sp_n_neurons,rank_corr_jf_jfinv,auc_jf_gtNB,auroc_global_jf_gtNB,auroc_colnorm_jf_gtNB,auroc_rownorm_jf_gtNB,auc_jfinv_gtNB,auroc_global_jfinv_gtNB,auroc_colnorm_jfinv_gtNB,auroc_rownorm_jfinv_gtNB,auc_jfconvabsinv_gtNB,auroc_global_jfconvabsinv_gtNB,auroc_colnorm_jfconvabsinv_gtNB,auroc_rownorm_jfconvabsinv_gtNB,auc_jf_gtMODEL,auroc_global_jf_gtMODEL,auroc_colnorm_jf_gtMODEL,auroc_rownorm_jf_gtMODEL,auc_jfinv_gtMODEL,auroc_global_jfinv_gtMODEL,auroc_colnorm_jfinv_gtMODEL,auroc_rownorm_jfinv_gtMODEL,auc_jfconvabsinv_gtMODEL,auroc_global_jfconvabsinv_gtMODEL,auroc_colnorm_jfconvabsinv_gtMODEL,auroc_rownorm_jfconvabsinv_gtMODEL,tune_sp_pos_jf,tune_sp_hd_jf,tune_sp_speed_jf,tune_auroc_jf,tune_sel_jf,tune_sp_pos_jfinv,tune_sp_hd_jfinv,tune_sp_speed_jfinv,tune_auroc_jfinv,tune_sel_jfinv,tune_sp_pos_jfconvabsinv,tune_sp_hd_jfconvabsinv,tune_sp_speed_jfconvabsinv,tune_auroc_jfconvabsinv,tune_sel_jfconvabsinv,adv_loss_clean,adv_loss_adv,adv_loss_gap,margin,destroy_frac,destroy_abs,destroy_frac_early,destroy_frac_late
cebra,0,408.51855540275574,linf,0.0,0.0,0.0,cebra,0.2759493025323682,0.10947591801705192,0.7257515589396158,13.018072207768759,0.23429208689461686,0.09294943320313027,0.6161919434865316,13.018072207768759,0.7694969177246094,0.9884655475616455,0.7722064256668091,0.9321035265922546,0.32537153363227844,-1.2520449042320252,1.0642600930663775,0.017204676826435516,0.016165857329917252,1.0846716946115091,337.6535233726803,5.85374694183966,0.14574564245632549,360,0.09339523398501211,0.3351745515830023,0.3351745515830023,0.219337907788612,0.5259832069339112,0.946351570964247,0.946351570964247,0.9369251835801131,0.5734338509690622,0.9060634103767905,0.9060634103767906,0.9011797279402913,0.5567313711327796,0.3202814903846154,0.3202814903846154,0.19588076923076922,0.5244528846153846,0.9743338942307692,0.9743338942307692,0.9621314903846154,0.5777891826923077,0.9376389423076921,0.9376389423076923,0.93669375,0.5619454326923077,0.7868100834111375,-0.776971015722858,-0.23960190022042352,0.9169606114050558,1.5637810991339953,0.7728377533777265,-0.7809463550387478,-0.22693745064905332,0.900977366255144,1.5537841084164743,0.7748087047996769,-0.7753292849481862,-0.23831922571419015,0.908179012345679,1.550137989747863,,,,,,,,
cebra_2x,0,800.5749754905701,linf,0.0,0.0,0.0,cebra_2x,0.2813374545111817,0.11184546890942565,0.7424747149149576,13.009007851282755,0.1933051656882393,0.07684827840994507,0.5101493199666342,13.009007851282755,0.7996898889541626,0.9880839824676514,0.8009095191955566,0.9480610370635987,0.002998828887939453,-1.310779047012329,0.8350700697553085,0.017103725660307097,0.020481785037893666,0.8440849389148318,340.8890344505073,5.858346852857486,0.135172885834413,360,0.17486711407184086,0.25340195016251355,0.25340195016251355,0.12901017214397495,0.5596048513302034,0.9251908029372818,0.9251908029372818,0.9504020705429156,0.573211749127242,0.9522071746719634,0.9522071746719634,0.947660406885759,0.5884817021788853,0.2552241586538462,0.2552241586538462,0.12177379807692308,0.5584776442307692,0.944127764423077,0.9441277644230769,0.9678173076923077,0.5774622596153847,0.975589423076923,0.9755894230769231,0.9630610576923077,0.5913822115384615,0.7735980473100359,-0.8096021831444171,-0.20159929217560835,0.9060111699000588,1.583200230454453,0.7559623659647579,-0.8127534420275876,-0.18274575163903012,0.9007201646090535,1.5687158079923456,0.7533833851598649,-0.8295110301777019,-0.18620719810080838,0.9021531452087007,1.5828944153375668,,,,,,,,
xcebra,0,419.9419174194336,linf,0.0,0.0,0.0,xcebra,0.02079651344339794,0.008175220209926568,0.05387298266092936,13.057604312896729,0.01930407828730488,0.007588536866942584,0.050006866455078125,13.057604312896729,0.791590690612793,0.9858007550239563,0.8248995542526245,0.9352606296539306,0.027279317378997803,0.6929391503334046,0.07365727191051871,0.0004290514987851002,0.005824971352541079,0.07382178113739087,354.2301766790253,5.878036529222734,0.07204025412699466,360,0.5195023449469848,0.5156956482484651,0.5156956482484651,0.5534197062718189,0.4825180570603106,0.9296800890814975,0.9296800890814976,0.9488280967858432,0.5036616708799807,0.7565613338148551,0.7565613338148549,0.7883053448898519,0.47767455158300226,0.5232280048076924,0.5232280048076923,0.5684021634615385,0.47922379807692306,0.9526913461538461,0.9526913461538462,0.9640603365384616,0.5020966346153846,0.7911793269230771,0.7911793269230769,0.8421634615384616,0.47437451923076923,0.6088938443455066,-0.3987525623911707,-0.5174209163136546,0.8016240446796002,1.0076464067366773,0.5970043493133949,-0.3632759512033272,-0.5071847262195952,0.8224206349206349,0.960280300516722,0.49758691553689965,-0.2638963263605429,-0.5128457781310041,0.7536375661375662,0.7614832418974425,,,,,,,,
xcebra_2x,0,819.1410343647003,linf,0.0,0.0,0.0,xcebra_2x,0.01781134976990151,0.00705406101865179,0.04671088854471842,13.025555292765299,0.016370091957901452,0.006483262714292099,0.042931159337361656,13.025555292765299,0.7789728045463562,0.9868113279342652,0.7862060070037842,0.9048767685890198,0.005114942789077759,-0.0064068853855133055,0.0440397350421378,0.0001932595206036172,0.0043882988945938015,0.04408054783513372,355.671427682706,5.8800614953128925,0.06254558906075136,360,0.5620418194821796,0.5720320211869508,0.5720320211869507,0.6988970145660286,0.4708640303358613,0.9156590827013363,0.9156590827013362,0.9289764656313952,0.47915914289153727,0.8594938004092934,0.8594938004092934,0.8851880943782352,0.4657677260142049,0.5643658653846154,0.5643658653846154,0.7019490384615384,0.47026153846153845,0.9469524038461539,0.9469524038461539,0.9621137019230769,0.47784254807692306,0.9203151442307692,0.9203151442307692,0.9537557692307692,0.46102572115384616,0.5276290712119691,-0.30489921475731546,-0.5003137884294375,0.7612066431510875,0.8325282859692846,0.4688863339994907,-0.2192617226984776,-0.4830366489453365,0.7587081128747796,0.6881480566979683,0.37059159407094183,-0.126005859098707,-0.4770461191830183,0.6936728395061729,0.4965974531696489,,,,,,,,
noise_linf_e0.02,0,726.6421890258789,linf,0.02,0.02,0.004,noise,0.23723077862482644,0.09423897781419027,0.6252811749776205,13.01234515508016,0.12047123107265062,0.04785669462803235,0.31753190358479816,13.01234515508016,0.7874029874801636,0.9895305871963501,0.7887371778488159,0.9422945380210876,0.002673715353012085,-1.2143601655960083,0.8090177288036353,0.0179500545173977,0.022187467441463864,0.8181487362373097,343.87896885535315,5.862946694901486,0.12341295028212773,360,0.13512973605239895,0.35580835439990366,0.3558083543999037,0.1961186348862405,0.554010172143975,0.9518610810160106,0.9518610810160106,0.9488744432406404,0.5713166606476465,0.9467125616949561,0.9467125616949561,0.9363130492355844,0.5866231792464187,0.3514300480769231,0.3514300480769231,0.1806108173076923,0.5568228365384615,0.9779420673076923,0.9779420673076923,0.9688769230769231,0.5753860576923077,0.9773099759615385,0.9773099759615385,0.9680175480769231,0.5910852163461539,0.7831855698475039,-0.799561982216941,-0.21717785888265595,0.9141681363903587,1.5827475520644447,0.768253613068002,-0.8076664686198709,-0.21189643953014042,0.9024103468547913,1.575920081687873,0.7716062623939999,-0.8187218522776668,-0.2023210055633145,0.9100896531452087,1.5903281146716668,13.041758014678955,13.011734352111816,-0.030023662567138672,2.606334007033629,-0.011474430151534086,-0.0045379864344256325,-0.010335924776534514,-0.011498481881690538
acorn_linf_e0.02,0,1373.347092628479,linf,0.02,0.02,0.004,acorn,0.007076617808224474,0.0028097932524294195,0.01863718032836914,13.014479319254557,0.006450115525553402,0.002561034793249583,0.016987164815266926,13.014479319254557,0.773658037185669,0.991184401512146,0.7805054187774658,0.9435712099075317,0.005620121955871582,-1.18686101436615,0.41884933332490404,0.003354570946995665,0.008009015844352565,0.4200254302404399,342.2178078422519,5.860233668747182,0.13049634193069093,360,0.6817718590172298,0.5993054050800529,0.5993054050800529,0.6480010834236186,0.5486303719754424,0.8944254845311184,0.8944254845311184,0.9451414469724329,0.5481028048633683,0.939095642229445,0.9390956422294451,0.944814012278801,0.5476634163958107,0.6194390625,0.6194390625,0.7036911057692308,0.5518211538461538,0.9187407451923078,0.9187407451923076,0.9699699519230769,0.5498564903846154,0.9649098557692307,0.9649098557692307,0.9662802884615385,0.5490632211538462,0.8136963505376841,-0.6438439597013352,-0.5213427572743616,0.9197163433274544,1.4575403102390192,0.8185130029295492,-0.6499080497020296,-0.5056466485080903,0.9287184009406232,1.4684210526315788,0.7866575616581404,-0.644823391126989,-0.4791369274968685,0.9061213991769548,1.4314809527851295,13.045728012084961,13.071694141387939,0.025966129302978515,2.6023640096276233,0.010590549961664867,0.00401966780217602,0.04146394592301812,-0.0011779898403643063
acorn_xreg_linf_e0.02,0,1367.3840103149414,linf,0.02,0.02,0.004,acorn_xreg,0.0036439179257422194,0.0014440097784431526,0.00956575075785319,13.022938887278238,0.0034852585726610403,0.0013811421074024696,0.009149312973022461,13.022938887278238,0.7932450771331787,0.988093090057373,0.8045989274978638,0.9039336323738099,0.009848803281784058,-0.04169126152992249,0.06804191434142708,0.00034633819516286847,0.005090071296715438,0.06810083819609596,354.8915769158317,5.87894454456837,0.06818630722317498,360,0.2617039641496095,0.3460027687492476,0.3460027687492476,0.23957896954375826,0.48608553027567114,0.9164821837004935,0.9164821837004936,0.9238187673046828,0.4903319489587095,0.8904405922715781,0.8904405922715782,0.9061318767304682,0.4814105573612616,0.38023028846153845,0.38023028846153845,0.3156216346153846,0.48420552884615387,0.9465100961538461,0.9465100961538462,0.9630706730769231,0.48725697115384614,0.9291163461538462,0.9291163461538462,0.9573007211538461,0.4802838942307692,0.5807621972391762,-0.3545600917702554,-0.5274258803437268,0.792989417989418,0.9353222890094316,0.5643320293109257,-0.2995704699367536,-0.5373230760525415,0.8121693121693122,0.8639024992476794,0.47606051487022794,-0.2218679670882234,-0.5018166292435384,0.7606554967666079,0.6979284819584514,13.051937755584717,13.081857154846192,0.02991939926147461,2.596154266127867,0.012139515548522446,0.004621431681208651,0.040686874746273666,0.0016534864780053781
noise_linf_e0.028,0,727.4740331172943,linf,0.028,0.028,0.005600000000000001,noise,0.12647813889225312,0.05023497428692006,0.33327722549438477,13.013032595316568,0.10564077892513828,0.041958620595913175,0.27836839358011883,13.013032595316568,0.7708665728569031,0.9892224073410034,0.7727881669998169,0.9153338074684143,0.0021170377731323242,-1.4082149386405944,0.7579476402528958,0.01744203118074775,0.023012184819162528,0.767065813257913,345.3147522852978,5.864979054561839,0.11782795247674116,360,0.12420050245359611,0.3585746960394848,0.3585746960394848,0.20696882147586373,0.555781569760443,0.9422869266883351,0.9422869266883351,0.9248104008667389,0.5729935596484892,0.9538918983989406,0.9538918983989406,0.9498338750451426,0.5876793667990851,0.3525780048076923,0.3525780048076923,0.18939495192307693,0.560659375,0.9766194711538461,0.9766194711538462,0.967453125,0.5783192307692308,0.9768829326923076,0.9768829326923076,0.9655439903846154,0.5945360576923077,0.7911102709125841,-0.784689953883389,-0.22204337996435156,0.9111919459141682,1.575800224795973,0.7819142123010207,-0.7949276871992326,-0.21541472799430036,0.9018959435626103,1.5768418995002533,0.779563113912916,-0.8041065131675399,-0.20131096690560885,0.9035861258083481,1.583669627080456,13.04483355331421,13.013919422149659,-0.03091413116455078,2.603258468398375,-0.011838746761313766,-0.0046762752788908684,-0.012069095711077012,-0.01138901640264094
acorn_linf_e0.028,0,1328.2040412425995,linf,0.028,0.028,0.005600000000000001,acorn,0.001598250530738832,0.0006342582074156061,0.004205544789632161,13.016767660776773,0.007155875396458015,0.0028397559883988886,0.018829345703125,13.016767660776773,0.7809199690818787,0.9914460062980652,0.7886065244674683,0.9386238813400268,0.007246047258377075,-0.9351701140403748,0.3552882218205393,0.002693139888315749,0.007580155273698009,0.35627955005448003,338.8346439552021,5.854727007720953,0.1428072393199189,360,0.6978873097007297,0.5744894366197183,0.5744894366197183,0.641336222462983,0.5344928975562778,0.8909696641386782,0.8909696641386782,0.924501625135428,0.5344152521969423,0.9356870711448176,0.9356870711448176,0.9560247381726255,0.5281175514626218,0.6040320913461538,0.6040320913461539,0.7232987980769231,0.5355040865384615,0.9215016826923077,0.9215016826923077,0.9644161057692308,0.5355168269230769,0.9565723557692307,0.9565723557692307,0.9609052884615384,0.5292379807692308,0.7722798787027677,-0.5735496930274667,-0.5521997340514458,0.9052763080540859,1.3458295717302344,0.775131752559819,-0.5686579371754411,-0.5366669495906604,0.9139844209288653,1.3437896897352601,0.7320943834443167,-0.5408953772791456,-0.5350725442840351,0.88532480893592,1.2729897607234624,13.054257472991944,13.09773504257202,0.043477569580078125,2.5938345487206407,0.01771166323638987,0.006726604236507976,0.06003582347626661,0.0017361218039751512
acorn_xreg_linf_e0.028,0,1324.4861698150635,linf,0.028,0.028,0.005600000000000001,acorn_xreg,-0.005548831471761961,-0.0021957513977110227,-0.014532009760538736,13.02914834022522,0.002729360821910274,0.00108004849857336,0.007148027420043945,13.02914834022522,0.7799848318099976,0.9894359707832336,0.7943748235702515,0.9361611008644104,0.013057440519332886,0.29700161814689635,0.06774364325518312,0.00035881355999234404,0.0052966380718664835,0.0678126008946871,352.686189891635,5.875753885750521,0.08186344017791525,360,0.41215266553478,0.3809323462140364,0.3809323462140364,0.2646247140965451,0.48014295172745874,0.9055040929336705,0.9055040929336704,0.9278238232815698,0.4854535331648008,0.9308781750331047,0.9308781750331047,0.9690625376188756,0.47822122908390513,0.41203377403846153,0.41203377403846153,0.3513838942307692,0.47758221153846153,0.9348831730769231,0.934883173076923,0.9601461538461539,0.48535,0.9136189903846155,0.9136189903846154,0.9547423076923077,0.47818954326923074,0.523462115191218,-0.288416577288405,-0.5146413166768261,0.7744708994708994,0.811878692479623,0.5473766515688135,-0.26532200608543793,-0.5117809550999621,0.8147413286302175,0.8126986576542514,0.4773624796487627,-0.2199620881848368,-0.4995043686036672,0.767416225749559,0.6973245678335995,13.06329390335083,13.101260063171386,0.03796615982055664,2.584798118361754,0.015646669167747276,0.005899961705200026,0.060854712643590485,-0.0034378734772366913
