stage,arm,scheme,lam,norm,eps,seed,d,sigma_obs,scale,r2_mean,r2_min,eval_nce,nce_clean,nce_second,final_jfro,temperature,seconds,n_steps,sv_ratio,libinv_corr,auroc_global,auprc_global,auroc_colnorm,auprc_colnorm,auroc_global_jf,auprc_global_jf,auroc_colnorm_jf,auprc_colnorm_jf,included
select,cebra,clean_single,0.0,,,90001,6,0.0,select,0.4196600367318881,0.10824859735716319,0.713849601149559,-1.5668228816986085,nan,0.0,0.06634519156869095,23.453846216201782,8000,0.0006949397940194038,0.9296503656058819,0.6419555555555555,0.8742680421823873,0.4451555555555556,0.7469702880267443,0.7364740740740741,0.8948197407760884,0.6096592592592592,0.8273073232716748,False
select,acorn_linf_0.0125,fork_double,0.0,linf,0.0125,90001,6,0.0,select,0.5998664028196184,0.47736099236085705,0.4581833019852638,-2.537338056564331,-1.061041305065155,0.0,0.05,147.9279866218567,16000,0.0011405150585415908,0.9455267368433543,0.4746666666666667,0.7518927087316734,0.5897481481481481,0.8110765641194949,0.5474962962962963,0.7938249566112773,0.578962962962963,0.8092902640920472,False
select,acorn_linf_0.025,fork_double,0.0,linf,0.025,90001,6,0.0,select,0.5075084324209336,0.1224400913185899,0.4994558110833168,-2.3455796098709105,-0.04936111778020859,0.0,0.05,147.52185893058777,16000,0.0016753490438418668,0.9484047249663248,0.5536,0.7527457826491162,0.5691259259259259,0.7864984437517613,0.5767703703703704,0.7950447903426843,0.5528296296296297,0.796939844567747,False
select,acorn_linf_0.05,fork_double,0.0,linf,0.05,90001,6,0.0,select,0.646948606311865,0.4100500959702734,0.6227064400911331,-1.656846158504486,1.422182972431183,0.0,0.05,148.1224765777588,16000,0.003543225774187239,0.8787473985224481,0.38180740740740743,0.7057454090651898,0.538074074074074,0.7986833653904153,0.5559111111111111,0.787975196206772,0.5454222222222223,0.7856171527840539,False
select,acorn_linf_0.1,fork_double,0.0,linf,0.1,90001,6,0.0,select,0.5717759812916996,0.12471585790462214,0.857203659415245,-0.8003112339973449,2.560711579322815,0.0,0.05105039343198239,147.61739993095398,16000,0.00893893544091658,0.9607001257968062,0.5193481481481481,0.7601275189925979,0.5546666666666666,0.8111667374145289,0.5479111111111111,0.7812144785494164,0.6033185185185185,0.7953795507463941,False
select,acorn_linf_0.2,fork_double,0.0,linf,0.2,90001,6,0.0,select,0.7346702631305023,0.5921063723745308,1.3887370884418488,0.4906243646144867,3.4310361671447756,0.0,0.07538451584146315,147.38897228240967,16000,0.016027469150063794,0.9999999991825391,0.6581925925925926,0.8459247006905959,0.5815703703703704,0.7929992445494707,0.5339851851851852,0.7793951900800595,0.5988148148148148,0.7965119609660871,False
select,acorn_l2_0.0884,fork_double,0.0,l2,0.0884,90001,6,0.0,select,0.37797601649119494,0.24159215979605153,0.4797499716281891,-2.465872564315796,-0.5472470623254776,0.0,0.05,153.9786570072174,16000,0.004693395132391972,0.78431276036123,0.8518518518518519,0.9441136815424269,0.7000888888888889,0.8737093390305724,0.5580444444444445,0.8171991185118666,0.6580148148148148,0.858581505485815,False
select,acorn_l2_0.1768,fork_double,0.0,l2,0.1768,90001,6,0.0,select,0.48046410263936634,0.04622585025257164,0.4938022270798683,-2.4310945320129393,-0.17391421556472778,0.0,0.05,153.8276653289795,16000,0.002288501319309498,0.8817353345180919,0.7923555555555556,0.9176491685669872,0.5957925925925925,0.8253005392463146,0.782637037037037,0.9204952437320366,0.7457185185185186,0.9103251451172233,False
select,acorn_l2_0.3536,fork_double,0.0,l2,0.3536,90001,6,0.0,select,0.40163692587862926,0.1232762468872588,0.5395901843905448,-2.3877933406829834,-0.06597380936145783,0.0,0.05,154.64974164962769,16000,0.0003087397439289853,0.9399682097950695,0.8679111111111111,0.951608354317681,0.713837037037037,0.8973999012459549,0.8074666666666667,0.9337316812243782,0.7861333333333334,0.9252717408634836,False
select,acorn_l2_0.7071,fork_double,0.0,l2,0.7071,90001,6,0.0,select,0.6300582574037369,0.44586537433700935,0.5195349603891373,-2.22895809173584,0.2614357626438141,0.0,0.05,155.55330801010132,16000,0.0005490008059525907,0.8785676533841758,0.6047407407407407,0.8184760970373832,0.5689481481481482,0.7928677050274361,0.5721481481481482,0.7965750535180343,0.6180740740740741,0.8051304553499965,False
